Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,Iron Mountain IncIRM:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$67.18
Ro KhannaDemocratHouseCA,Monolithic Power Systems IncMPWR:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$589.19
Ro KhannaDemocratHouseCA,Tesla IncTSLA:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$233.94
Ro KhannaDemocratHouseCA,Liberty Global PLCLBYAV:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$18.60
Ro KhannaDemocratHouseCA,Las Vegas Sands CorpLVS:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$49.29
Ro KhannaDemocratHouseCA,Verisign IncVRSN:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$203.42
Ro KhannaDemocratHouseCA,Marvell Technology IncMRVL:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$63.43
Ro KhannaDemocratHouseCA,Charter Communications IncCHTR:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$367.00
Ro KhannaDemocratHouseCA,Nike IncNKE:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$103.77
Ro KhannaDemocratHouseCA,Fox CorpFOXA:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$30.67
Ro KhannaDemocratHouseCA,Floor & Decor Holdings IncFND:US,7 Feb2024,10 Jan2024,days26,Child,sell,1K–15K,$105.85
Ro KhannaDemocratHouseCA,Intuit IncINTU:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$608.70
Ro KhannaDemocratHouseCA,Walmart IncWMT:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$161.29
Ro KhannaDemocratHouseCA,The Home Depot IncHD:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$356.80
Ro KhannaDemocratHouseCA,Visa IncV:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$264.56
Ro KhannaDemocratHouseCA,Caterpillar IncCAT:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$293.35
Ro KhannaDemocratHouseCA,AbbVie IncABBV:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$164.89
Ro KhannaDemocratHouseCA,Apple IncAAPL:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$186.19
Ro KhannaDemocratHouseCA,Danaher CorpDHR:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$229.64
Ro KhannaDemocratHouseCA,Merck & Co IncMRK:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$118.86
Ro KhannaDemocratHouseCA,Uber Technologies IncUBER:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$62.41
Ro KhannaDemocratHouseCA,Intuitive Surgical IncISRG:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$364.45
Ro KhannaDemocratHouseCA,Starbucks CorpSBUX:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$93.50
Ro KhannaDemocratHouseCA,Morgan StanleyMS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$91.48
Ro KhannaDemocratHouseCA,Analog Devices IncADI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$188.37
Ro KhannaDemocratHouseCA,Texas Instruments IncTXN:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$167.25
Ro KhannaDemocratHouseCA,Air Products and Chemicals IncAPD:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$266.96
Ro KhannaDemocratHouseCA,Cadence Design Systems IncCDNS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$263.26
Ro KhannaDemocratHouseCA,Synopsys IncSNPS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,15K–50K,$505.18
