Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Mike KellyRepublicanHousePA,STATE OF CALIFORNIAN/A,10 Jan2025,2 Dec2024,days38,Spouse,sell,1K–15K,N/A
Mike KellyRepublicanHousePA,STATE OF MISSISSIPPIN/A,10 Jan2025,27 Dec2024,days13,Spouse,buy,15K–50K,N/A
Guy ReschenthalerRepublicanHousePA,BITCOIN$BTC,10 Jan2025,23 Dec2024,days17,Undisclosed,buy,1K–15K,"$94,686.20"
Guy ReschenthalerRepublicanHousePA,SOLANA$SOL,10 Jan2025,11 Dec2024,days29,Undisclosed,buy,1K–15K,$227.45
Guy ReschenthalerRepublicanHousePA,RIPPLE XRP$XRP,10 Jan2025,11 Dec2024,days29,Undisclosed,buy,1K–15K,$2.40
Lloyd DoggettDemocratHouseTX,The Coca-Cola CoKO:US,9 Jan2025,16 Dec2024,days23,Undisclosed,buy,1K–15K,$62.55
Lloyd DoggettDemocratHouseTX,The Home Depot IncHD:US,9 Jan2025,12 Dec2024,days27,Undisclosed,buy,1K–15K,$414.42
Lloyd DoggettDemocratHouseTX,International Business Machines CorpIBM:US,9 Jan2025,10 Dec2024,days29,Undisclosed,buy,1K–15K,$231.72
Lloyd DoggettDemocratHouseTX,Johnson & JohnsonJNJ:US,9 Jan2025,10 Dec2024,days29,Undisclosed,buy,1K–15K,$149.23
Lloyd DoggettDemocratHouseTX,PPG Industries IncPPG:US,9 Jan2025,12 Dec2024,days27,Undisclosed,buy,1K–15K,$124.02
Sheldon WhitehouseDemocratSenateRI,NVIDIA CorporationNVDA:US,8 Jan2025,6 Jan2025,days2,Self,sell,15K–50K,$149.43
Sheldon WhitehouseDemocratSenateRI,Lam Research CorpLRCX:US,8 Jan2025,19 Dec2024,days20,Self,sell,15K–50K,$71.21
Sheldon WhitehouseDemocratSenateRI,Apple IncAAPL:US,8 Jan2025,19 Dec2024,days20,Self,sell,15K–50K,$249.79
Laurel LeeRepublicanHouseFL,TUHURA BIOSCIENCES INCHURA:US,8 Jan2025,25 Nov2024,days43,Spouse,buy,1K–15K,N/A
Laurel LeeRepublicanHouseFL,Warner Bros Discover IncWBD:US,8 Jan2025,29 Nov2024,days39,Spouse,sell,1K–15K,$10.48
Virginia FoxxRepublicanHouseNC,AbbVie IncABBV:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$176.19
Virginia FoxxRepublicanHouseNC,Alliance Resource Partners LPARLP:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$26.47
Virginia FoxxRepublicanHouseNC,American Electric Power Co IncAEP:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$95.85
Virginia FoxxRepublicanHouseNC,Amgen IncAMGN:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$272.58
Virginia FoxxRepublicanHouseNC,ARDMORE SHIPPING CORPASC:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$11.33
Virginia FoxxRepublicanHouseNC,AT&T IncT:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$21.15
Virginia FoxxRepublicanHouseNC,Bristol-Myers Squibb CoBMY:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$59.38
Virginia FoxxRepublicanHouseNC,Duke Energy CorpDUK:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$112.10
Virginia FoxxRepublicanHouseNC,ELLINGTON FINANCIAL INCEFC:US,7 Jan2025,30 Dec2024,days7,Undisclosed,buy,1K–15K,$23.99
Virginia FoxxRepublicanHouseNC,Energy Transfer LPET:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$19.26
Virginia FoxxRepublicanHouseNC,FLEX LNG LTDFLNG:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,15K–50K,$21.93
Virginia FoxxRepublicanHouseNC,Johnson & JohnsonJNJ:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$149.31
Virginia FoxxRepublicanHouseNC,Pembina Pipeline CorpPBA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$39.44
Virginia FoxxRepublicanHouseNC,Public StoragePSA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,buy,1K–15K,$334.00
Virginia FoxxRepublicanHouseNC,Via Renewables IncVIA:US,7 Jan2025,6 Dec2024,days31,Undisclosed,sell,50K–100K,$22.14
Don BeyerDemocratHouseVA,DALLAS AREA RAPID TRANSITN/A,7 Jan2025,2 Dec2024,days35,Joint,exchange,1K–15K,N/A
Don BeyerDemocratHouseVA,DUKE STREET LLCN/A,7 Jan2025,23 Dec2024,days14,Joint,sell,5M–25M,N/A
Don BeyerDemocratHouseVA,STATE OF OKLAHOMAN/A,7 Jan2025,4 Dec2024,days33,Joint,buy,1K–15K,N/A
Don BeyerDemocratHouseVA,STATE OF OKLAHOMAN/A,7 Jan2025,4 Dec2024,days33,Joint,buy,1K–15K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,250K–500K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,250K–500K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,500K–1M,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,500K–1M,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,sell,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,7 Jan2025,19 Dec2024,days12,Spouse,sell,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,sell,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,7 Jan2025,19 Dec2024,days12,Spouse,sell,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,50K–100K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,100K–250K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,100K–250K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,7 Jan2025,19 Dec2024,days12,Spouse,sell,100K–250K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,20 Dec2024,days11,Spouse,buy,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,7 Jan2025,5 Dec2024,days26,Spouse,buy,15K–50K,N/A
Richard BlumenthalDemocratSenateCT,BROKEDOWN PALACE LTDN/A,7 Jan2025,19 Dec2024,days12,Spouse,buy,15K–50K,N/A
Shelley Moore CapitoRepublicanSenateWV,General Electric CoGE:US,6 Jan2025,27 Dec2024,days10,Spouse,buy,1K–15K,$170.08
Shelley Moore CapitoRepublicanSenateWV,Unitedhealth Group IncUNH:US,6 Jan2025,20 Dec2024,days17,Spouse,sell,1K–15K,$500.13
Shelley Moore CapitoRepublicanSenateWV,Lowe's Cos IncLOW:US,6 Jan2025,13 Dec2024,days24,Spouse,sell,1K–15K,$262.39
Shelley Moore CapitoRepublicanSenateWV,Broadcom IncAVGO:US,6 Jan2025,12 Dec2024,days25,Spouse,buy,1K–15K,$180.66
Shelley Moore CapitoRepublicanSenateWV,Microsoft CorpMSFT:US,6 Jan2025,16 Dec2024,days21,Spouse,sell,1K–15K,$451.59
Mitch McConnellRepublicanSenateKY,Wells Fargo & CoWFC:US,5 Jan2025,2 Dec2024,days33,Spouse,buy,1K–15K,$75.28
Markwayne MullinRepublicanSenateOK,CENTRAL TEXAS REGIONAL MOBILITY AUTHORITYN/A,4 Jan2025,27 Dec2024,days7,Joint,sell,50K–100K,N/A
Markwayne MullinRepublicanSenateOK,Vanguard Real Estate ETFVNQ:US,4 Jan2025,26 Dec2024,days8,Joint,buy,1K–15K,$89.65
Markwayne MullinRepublicanSenateOK,PIMCO COMMODITIES PLUS STRATEGY FUNDPCLPX:US,4 Jan2025,26 Dec2024,days8,Joint,buy,250K–500K,$6.43
Markwayne MullinRepublicanSenateOK,COLUMN SMALL CAP SELECT FUNDCFSSX:US,4 Jan2025,26 Dec2024,days8,Joint,buy,100K–250K,$11.90
Markwayne MullinRepublicanSenateOK,GOLDMAN SACHS INTERNATIONAL SMALL CAP INSIGHTS FUNDGICIX:US,4 Jan2025,26 Dec2024,days8,Joint,buy,50K–100K,$12.29
Markwayne MullinRepublicanSenateOK,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETFPDBC:US,4 Jan2025,26 Dec2024,days8,Joint,sell,250K–500K,$12.76
Markwayne MullinRepublicanSenateOK,iShares Core MSCI Emerging Markets ETFIEMG:US,4 Jan2025,26 Dec2024,days8,Joint,buy,50K–100K,$52.95
Tom CarperDemocratSenateDE,Atlantica Sustainable Infrastructure PLCAY:US,2 Jan2025,13 Dec2024,days20,Spouse,sell,1K–15K,N/A
Michael CollinsRepublicanHouseGA,SKI MASK DOG$SKI,2 Jan2025,3 Dec2024,days29,Undisclosed,buy,1K–15K,$0.14
Markwayne MullinRepublicanSenateOK,Stride IncLRN:US,1 Jan2025,30 Jul2024,days154,Spouse,buy,1K–15K,$76.05
Markwayne MullinRepublicanSenateOK,Sprouts Farmers Market IncSFM:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$135.19
Markwayne MullinRepublicanSenateOK,Ollie's Bargain Outlet Holdings IncOLLI:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$114.49
Markwayne MullinRepublicanSenateOK,Stride IncLRN:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$105.29
Markwayne MullinRepublicanSenateOK,The Goldman Sachs Group IncGS:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$550.25
Markwayne MullinRepublicanSenateOK,FRESHPET INCFRPT:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$140.67
Markwayne MullinRepublicanSenateOK,Eaton Corp PLCETN:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$335.12
Markwayne MullinRepublicanSenateOK,Eaton Corp PLCETN:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$335.12
Markwayne MullinRepublicanSenateOK,e.l.f. Beauty IncELF:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,1K–15K,$127.20
Markwayne MullinRepublicanSenateOK,CyberArk Software LtdCYBR:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$305.08
Markwayne MullinRepublicanSenateOK,Badger Meter IncBMI:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$219.45
Markwayne MullinRepublicanSenateOK,Axon Enterprise IncAXON:US,1 Jan2025,18 Dec2024,days13,Spouse,sell,15K–50K,$609.96
Markwayne MullinRepublicanSenateOK,Sprouts Farmers Market IncSFM:US,1 Jan2025,18 Dec2024,days13,Self,sell,15K–50K,$135.19
Markwayne MullinRepublicanSenateOK,Ollie's Bargain Outlet Holdings IncOLLI:US,1 Jan2025,18 Dec2024,days13,Self,sell,15K–50K,$114.49
Markwayne MullinRepublicanSenateOK,Stride IncLRN:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$105.29
Markwayne MullinRepublicanSenateOK,The Goldman Sachs Group IncGS:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$550.25
Markwayne MullinRepublicanSenateOK,FRESHPET INCFRPT:US,1 Jan2025,18 Dec2024,days13,Self,sell,15K–50K,$140.67
Markwayne MullinRepublicanSenateOK,e.l.f. Beauty IncELF:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$127.20
Markwayne MullinRepublicanSenateOK,CyberArk Software LtdCYBR:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$305.08
Markwayne MullinRepublicanSenateOK,Badger Meter IncBMI:US,1 Jan2025,18 Dec2024,days13,Self,sell,1K–15K,$219.45
Markwayne MullinRepublicanSenateOK,Axon Enterprise IncAXON:US,1 Jan2025,18 Dec2024,days13,Self,sell,15K–50K,$609.96
Markwayne MullinRepublicanSenateOK,Abbott LaboratoriesABT:US,1 Jan2025,11 Dec2024,days20,Joint,sell,15K–50K,$114.14
Markwayne MullinRepublicanSenateOK,PepsiCo IncPEP:US,1 Jan2025,11 Dec2024,days20,Joint,sell,15K–50K,$156.77
Markwayne MullinRepublicanSenateOK,Applied Materials IncAMAT:US,1 Jan2025,11 Dec2024,days20,Joint,buy,15K–50K,$171.13
Bill HagertyRepublicanSenateTN,Equity CommonwealthEQC:US,30 Dec2024,13 Dec2024,days17,Self,sell,1K–15K,N/A
Bill HagertyRepublicanSenateTN,CAREBRIDGEN/A,30 Dec2024,10 Dec2024,days20,Child,sell,250K–500K,N/A
Bill HagertyRepublicanSenateTN,CAREBRIDGEN/A,30 Dec2024,10 Dec2024,days20,Child,sell,250K–500K,N/A
Bill HagertyRepublicanSenateTN,CAREBRIDGEN/A,30 Dec2024,10 Dec2024,days20,Child,sell,250K–500K,N/A
Bill HagertyRepublicanSenateTN,CAREBRIDGEN/A,30 Dec2024,10 Dec2024,days20,Child,sell,250K–500K,N/A
Max MillerRepublicanHouseOH,NEW WATER CAPITAL PARTNERS II LPN/A,30 Dec2024,19 Dec2024,days10,Undisclosed,sell,1K–15K,N/A
Marjorie Taylor GreeneRepublicanHouseGA,Adobe IncADBE:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$447.94
Marjorie Taylor GreeneRepublicanHouseGA,Amazon.com IncAMZN:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$229.05
Marjorie Taylor GreeneRepublicanHouseGA,Applied Materials IncAMAT:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$168.37
Marjorie Taylor GreeneRepublicanHouseGA,Caterpillar IncCAT:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$367.57
Marjorie Taylor GreeneRepublicanHouseGA,Duke Energy CorpDUK:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$108.97
Marjorie Taylor GreeneRepublicanHouseGA,Eli Lilly and CoLLY:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$795.67
Marjorie Taylor GreeneRepublicanHouseGA,Gilead Sciences IncGILD:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$93.95
Marjorie Taylor GreeneRepublicanHouseGA,Johnson & JohnsonJNJ:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$145.85
Marjorie Taylor GreeneRepublicanHouseGA,Meta Platforms IncMETA:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$607.75
Marjorie Taylor GreeneRepublicanHouseGA,Microsoft CorpMSFT:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$439.33
Marjorie Taylor GreeneRepublicanHouseGA,Norfolk Southern CorpNSC:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$237.92
Marjorie Taylor GreeneRepublicanHouseGA,NVIDIA CorporationNVDA:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$140.22
Marjorie Taylor GreeneRepublicanHouseGA,ServiceNow IncNOW:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,"$1,105.56"
Marjorie Taylor GreeneRepublicanHouseGA,The Hershey CoHSY:US,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,1K–15K,$170.49
Marjorie Taylor GreeneRepublicanHouseGA,US TREASURY BILLSN/A,30 Dec2024,24 Dec2024,days3,Undisclosed,buy,50K–100K,N/A
Suzan DelBeneDemocratHouseWA,TEXAS TRANSPORTATION COMMISSIONN/A,24 Dec2024,9 Dec2024,days14,Joint,buy,15K–50K,N/A
Michael GuestRepublicanHouseMS,Amazon.com IncAMZN:US,23 Dec2024,8 Nov2024,days42,Child,buy,1K–15K,$208.18
Michael GuestRepublicanHouseMS,MONDAY COM LTDN/A,23 Dec2024,8 Nov2024,days42,Child,buy,1K–15K,$324.31
Michael GuestRepublicanHouseMS,Tesla IncTSLA:US,23 Dec2024,8 Nov2024,days42,Child,buy,1K–15K,$321.22
Rick ScottRepublicanSenateFL,METROPOLITAN WATER RECLAMATION DISTRICT OF GREATER CHICAGON/A,20 Dec2024,4 Dec2024,days16,Self,sell,100K–250K,N/A
Rick ScottRepublicanSenateFL,SOUTH CAROLINA STATE PORTS AUTHORITYN/A,20 Dec2024,4 Dec2024,days16,Self,sell,500K–1M,N/A
Rick ScottRepublicanSenateFL,TAMPA FLORIDA SOLID WASTE SYSTEMN/A,20 Dec2024,4 Dec2024,days16,Self,buy,100K–250K,N/A
Rick ScottRepublicanSenateFL,TAMPA FLORIDA SOLID WASTE SYSTEMN/A,20 Dec2024,4 Dec2024,days16,Self,buy,500K–1M,N/A
Rick ScottRepublicanSenateFL,TAMPA FLORIDA SOLID WASTE SYSTEMN/A,20 Dec2024,4 Dec2024,days16,Spouse,buy,250K–500K,N/A
Rick ScottRepublicanSenateFL,EL PASO WATER & SEWERN/A,20 Dec2024,21 Nov2024,days29,Spouse,sell,500K–1M,N/A
Rick ScottRepublicanSenateFL,ARIZONA BOARD OF REGENTSN/A,20 Dec2024,21 Nov2024,days29,Spouse,sell,250K–500K,N/A
Rick ScottRepublicanSenateFL,ALABAMA HIGHWAY FINANCE AUTHORITYN/A,20 Dec2024,21 Nov2024,days29,Spouse,sell,500K–1M,N/A
Rick ScottRepublicanSenateFL,WASHINGTON KING COUNTYN/A,20 Dec2024,21 Nov2024,days29,Spouse,sell,250K–500K,N/A
Pete SessionsRepublicanHouseTX,Microsoft CorpMSFT:US,20 Dec2024,18 Dec2024,days1,Spouse,buy,1K–15K,$437.39
Markwayne MullinRepublicanSenateOK,iShares Core MSCI EAFE ETFIEFA:US,20 Dec2024,27 Nov2024,days22,Joint,buy,100K–250K,$72.58
Markwayne MullinRepublicanSenateOK,iShares Core MSCI Emerging Markets ETFIEMG:US,20 Dec2024,27 Nov2024,days22,Joint,buy,1K–15K,$54.11
Markwayne MullinRepublicanSenateOK,iShares MSCI Eurozone ETFEZU:US,20 Dec2024,27 Nov2024,days22,Joint,buy,100K–250K,$47.30
David JoyceRepublicanHouseOH,MAI MANAGED INCOME FUNDN/A,19 Dec2024,19 Nov2024,days29,Undisclosed,sell,50K–100K,N/A
Michael McCaulRepublicanHouseTX,STATE OF TEXASN/A,18 Dec2024,15 Nov2024,days31,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,COUNTY OF PALM BEACHN/A,18 Dec2024,14 Nov2024,days32,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,ARIZONA STATE TRANSPORTATION BOARDN/A,18 Dec2024,26 Nov2024,days20,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,EAGLE MOUNTAIN SAGINAW ISDN/A,18 Dec2024,25 Nov2024,days21,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,CITY OF FORT LAUDERDALEN/A,18 Dec2024,29 Nov2024,days17,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,EQV VENTURES ACQN CORP -REDHEQV:US,18 Dec2024,13 Nov2024,days33,Spouse,buy,100K–250K,$9.92
Michael McCaulRepublicanHouseTX,Abbott LaboratoriesABT:US,18 Dec2024,4 Nov2024,days42,Spouse,buy,50K–100K,$117.65
Michael McCaulRepublicanHouseTX,Arrow Electronics IncARW:US,18 Dec2024,22 Nov2024,days24,Spouse,buy,50K–100K,$119.26
Michael McCaulRepublicanHouseTX,Liberty Broadband CorpLBRDA:US,18 Dec2024,8 Nov2024,days38,Spouse,buy,50K–100K,$96.85
Michael McCaulRepublicanHouseTX,AramarkARMK:US,18 Dec2024,14 Nov2024,days32,Spouse,buy,50K–100K,$38.68
Michael McCaulRepublicanHouseTX,HPS SPECIAL SITUATIONS OPPORTUNITY FUND II LPN/A,18 Dec2024,2 Nov2024,days44,Spouse,buy,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Fortinet IncFTNT:US,18 Dec2024,12 Nov2024,days34,Spouse,buy,15K–50K,$99.15
Michael McCaulRepublicanHouseTX,Uber Technologies IncUBER:US,18 Dec2024,1 Nov2024,days45,Spouse,buy,15K–50K,$73.25
Michael McCaulRepublicanHouseTX,Dynatrace IncDT:US,18 Dec2024,8 Nov2024,days38,Spouse,buy,15K–50K,$52.89
Michael McCaulRepublicanHouseTX,Fortinet IncFTNT:US,18 Dec2024,12 Nov2024,days34,Spouse,buy,15K–50K,$99.15
Michael McCaulRepublicanHouseTX,BELLEFONTE AREA SCHOOL DISTRICTN/A,18 Dec2024,1 Nov2024,days45,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,18 Dec2024,15 Nov2024,days31,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,HPS SPECIAL SITUATIONS OPPORTUNITY FUND II LPN/A,18 Dec2024,1 Nov2024,days45,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,18 Dec2024,25 Nov2024,days21,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,18 Dec2024,1 Nov2024,days45,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,18 Dec2024,7 Nov2024,days39,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,CAFFEINATED CAPITAL 2023 ALLOCATE ACCESS FUND LPN/A,18 Dec2024,20 Nov2024,days26,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,BELLEFONTE AREA SCHOOL DISTRICTN/A,18 Dec2024,1 Nov2024,days45,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,Alphabet IncGOOGL:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$178.12
Michael McCaulRepublicanHouseTX,Microsoft CorpMSFT:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$417.79
Michael McCaulRepublicanHouseTX,Alphabet IncGOOGL:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$178.12
Michael McCaulRepublicanHouseTX,Netflix IncNFLX:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$871.32
Michael McCaulRepublicanHouseTX,Netflix IncNFLX:US,18 Dec2024,18 Nov2024,days28,Spouse,sell,1K–15K,$847.05
Michael McCaulRepublicanHouseTX,Hilton Worldwide Holdings IncHLT:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$249.76
Michael McCaulRepublicanHouseTX,Discover Financial ServicesDFS:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$172.50
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,1K–15K,$340.00
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Dec2024,22 Nov2024,days24,Spouse,sell,15K–50K,$349.16
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Dec2024,18 Nov2024,days28,Spouse,sell,15K–50K,$325.37
Michael McCaulRepublicanHouseTX,Netflix IncNFLX:US,18 Dec2024,27 Nov2024,days19,Spouse,sell,15K–50K,$877.34
Michael McCaulRepublicanHouseTX,Wells Fargo & CoWFC:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$73.43
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$340.00
Michael McCaulRepublicanHouseTX,Safran SASAFRY:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$57.70
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Dec2024,12 Nov2024,days34,Spouse,sell,15K–50K,$323.71
Michael McCaulRepublicanHouseTX,Howmet Aerospace IncHWM:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$116.00
Michael McCaulRepublicanHouseTX,COUNTY OF ALLEGHANY PENNSYLVANIAN/A,18 Dec2024,1 Nov2024,days45,Spouse,sell,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Wells Fargo & CoWFC:US,18 Dec2024,5 Nov2024,days41,Spouse,sell,15K–50K,$64.07
Michael McCaulRepublicanHouseTX,Synopsys IncSNPS:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$534.02
Michael McCaulRepublicanHouseTX,TriMas CorpTRS:US,18 Dec2024,7 Nov2024,days39,Spouse,sell,15K–50K,$27.39
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$561.09
Michael McCaulRepublicanHouseTX,Apple IncAAPL:US,18 Dec2024,12 Nov2024,days34,Spouse,sell,15K–50K,$224.23
Michael McCaulRepublicanHouseTX,Cadence Design Systems IncCDNS:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$299.63
Michael McCaulRepublicanHouseTX,Abbott LaboratoriesABT:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$117.13
Michael McCaulRepublicanHouseTX,Taiwan Semiconductor Manufacturing Co LtdTSM:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$189.67
Michael McCaulRepublicanHouseTX,Capital One Financial CorpCOF:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$181.00
Michael McCaulRepublicanHouseTX,Apple IncAAPL:US,18 Dec2024,12 Nov2024,days34,Spouse,sell,15K–50K,$224.23
Michael McCaulRepublicanHouseTX,Visa IncV:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$311.85
Michael McCaulRepublicanHouseTX,Alcoa CorpAA:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$45.60
Michael McCaulRepublicanHouseTX,Comcast CorpCMCSA:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$42.32
Michael McCaulRepublicanHouseTX,Woodward IncWWD:US,18 Dec2024,19 Nov2024,days27,Spouse,sell,15K–50K,$170.85
